Packet Number,Source MAC,Destination MAC,EtherType,IP Version,Source IP,Destination IP,Header Length (bytes),Total Length (bytes),TTL,Protocol,Checksum,Flags,Fragment Offset,Identification,Source Port,Destination Port,Sequence Number,Acknowledgment Number,TCP Flags,Window Size,Urgent Pointer
896,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,21816.0,DF,0.0,28579.0,54224.0,5000.0,1383788579.0,3740495048.0,A,331.0,0.0
897,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,38598.0,DF,0.0,17043.0,5000.0,54224.0,3740495048.0,1383750931.0,A,330.0,0.0
898,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,19844.0,DF,0.0,28580.0,54224.0,5000.0,1383790027.0,3740495048.0,A,331.0,0.0
899,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,35692.0,DF,0.0,17044.0,5000.0,54224.0,3740495048.0,1383753827.0,A,330.0,0.0
900,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,20442.0,DF,0.0,28581.0,54224.0,5000.0,1383791475.0,3740495048.0,A,331.0,0.0
901,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,18480.0,DF,0.0,28582.0,54224.0,5000.0,1383792923.0,3740495048.0,A,331.0,0.0
902,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,32786.0,DF,0.0,17045.0,5000.0,54224.0,3740495048.0,1383756723.0,A,330.0,0.0
903,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,16508.0,DF,0.0,28583.0,54224.0,5000.0,1383794371.0,3740495048.0,A,331.0,0.0
904,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,14546.0,DF,0.0,28584.0,54224.0,5000.0,1383795819.0,3740495048.0,A,331.0,0.0
905,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,29880.0,DF,0.0,17046.0,5000.0,54224.0,3740495048.0,1383759619.0,A,330.0,0.0
906,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,12575.0,DF,0.0,28585.0,54224.0,5000.0,1383797267.0,3740495048.0,A,331.0,0.0
907,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,13183.0,DF,0.0,28586.0,54224.0,5000.0,1383798715.0,3740495048.0,A,331.0,0.0
908,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,26928.0,DF,0.0,17047.0,5000.0,54224.0,3740495048.0,1383762515.0,A,330.0,0.0
909,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,11165.0,DF,0.0,28587.0,54224.0,5000.0,1383800163.0,3740495048.0,A,331.0,0.0
