Packet Number,Source IP,Destination IP,IHL(byte),DSCP,ECN,Protocol
255,172.16.11.1,172.16.10.1,20,0,0,6
256,172.16.11.1,172.16.10.1,20,0,0,6
257,172.16.10.1,172.16.11.1,20,0,0,6
258,172.16.11.1,172.16.10.1,20,0,0,6
259,172.16.11.1,172.16.10.1,20,0,0,6
260,172.16.10.1,172.16.11.1,20,0,0,6
261,172.16.11.1,172.16.10.1,20,0,0,6
262,172.16.11.1,172.16.10.1,20,0,0,6
263,172.16.10.1,172.16.11.1,20,0,0,6
264,172.16.11.1,172.16.10.1,20,0,0,6
265,172.16.11.1,172.16.10.1,20,0,0,6
266,172.16.10.1,172.16.11.1,20,0,0,6
267,172.16.11.1,172.16.10.1,20,0,0,6
268,172.16.11.1,172.16.10.1,20,0,0,6
269,172.16.11.1,172.16.10.1,20,0,0,6
270,172.16.11.1,172.16.10.1,20,0,0,6
271,172.16.10.1,172.16.11.1,20,0,0,6
272,172.16.11.1,172.16.10.1,20,0,0,6
273,172.16.11.1,172.16.10.1,20,0,0,6
274,172.16.10.1,172.16.11.1,20,0,0,6
275,172.16.11.1,172.16.10.1,20,0,0,6
276,172.16.10.1,172.16.11.1,20,0,0,6
277,172.16.11.1,172.16.10.1,20,0,0,6
278,172.16.11.1,172.16.10.1,20,0,0,6
279,172.16.11.1,172.16.10.1,20,0,0,6
280,172.16.10.1,172.16.11.1,20,0,0,6
281,172.16.11.1,172.16.10.1,20,0,0,6
282,172.16.11.1,172.16.10.1,20,0,0,6
283,172.16.10.1,172.16.11.1,20,0,0,6
284,172.16.11.1,172.16.10.1,20,0,0,6
285,172.16.11.1,172.16.10.1,20,0,0,6
286,172.16.10.1,172.16.11.1,20,0,0,6
287,172.16.11.1,172.16.10.1,20,0,0,6
288,172.16.11.1,172.16.10.1,20,0,0,6
289,172.16.10.1,172.16.11.1,20,0,0,6
290,172.16.11.1,172.16.10.1,20,0,0,6
291,172.16.11.1,172.16.10.1,20,0,0,6
292,172.16.10.1,172.16.11.1,20,0,0,6
293,172.16.11.1,172.16.10.1,20,0,0,6
294,172.16.11.1,172.16.10.1,20,0,0,6
295,172.16.10.1,172.16.11.1,20,0,0,6
296,172.16.11.1,172.16.10.1,20,0,0,6
297,172.16.11.1,172.16.10.1,20,0,0,6
298,172.16.10.1,172.16.11.1,20,0,0,6
299,172.16.11.1,172.16.10.1,20,0,0,6
300,172.16.11.1,172.16.10.1,20,0,0,6
301,172.16.10.1,172.16.11.1,20,0,0,6
302,172.16.11.1,172.16.10.1,20,0,0,6
303,172.16.11.1,172.16.10.1,20,0,0,6
304,172.16.11.1,172.16.10.1,20,0,0,6
305,172.16.11.1,172.16.10.1,20,0,0,6
306,172.16.10.1,172.16.11.1,20,0,0,6
307,172.16.11.1,172.16.10.1,20,0,0,6
308,172.16.11.1,172.16.10.1,20,0,0,6
309,172.16.10.1,172.16.11.1,20,0,0,6
310,172.16.11.1,172.16.10.1,20,0,0,6
311,172.16.11.1,172.16.10.1,20,0,0,6
312,172.16.10.1,172.16.11.1,20,0,0,6
313,172.16.11.1,172.16.10.1,20,0,0,6
