tcp_80_connections,tcp_443_connections,udp_443_connections
"('149.198.202.136', 60811, '44.206.252.46', 80)","('35.170.74.208', 443, '193.188.208.209', 65190)",
"('2001:3967:52ee:c5:d66a:2aff:ec68:7610', 51949, '2001:3c00:5d52:1e:9984:23ff:65e2:d71e', 80)","('193.50.255.17', 443, '145.120.33.1', 2989)",
"('164.93.168.156', 52431, '52.144.27.35', 80)","('88.165.92.235', 443, '164.88.48.133', 63940)",
"('160.26.216.171', 63911, '221.167.56.23', 80)","('164.66.66.17', 50266, '45.171.169.0', 443)",
"('164.93.87.120', 23096, '193.44.201.172', 80)","('149.198.202.137', 62353, '11.43.100.46', 443)",
"('161.32.148.18', 80, '193.215.220.83', 2609)","('149.198.227.213', 1475, '42.65.128.36', 443)",
"('92.198.144.54', 80, '164.66.226.190', 54274)","('149.198.202.136', 61002, '11.43.100.49', 443)",
"('192.3.18.14', 80, '145.120.108.109', 2560)","('193.128.160.163', 443, '220.82.66.37', 40398)",
"('198.102.75.182', 80, '161.32.5.77', 1164)","('88.165.92.235', 443, '164.88.48.129', 65014)",
"('164.93.110.252', 80, '46.224.123.192', 56384)","('149.198.164.1', 1191, '45.170.21.194', 443)",
"('182.56.80.154', 29881, '221.167.56.41', 80)","('92.21.96.178', 443, '145.120.98.122', 55890)",
"('145.120.108.109', 3211, '92.11.248.129', 80)","('145.120.98.122', 55883, '92.21.96.178', 443)",
"('149.198.202.136', 60965, '215.66.178.30', 80)","('149.198.202.136', 60545, '215.198.65.166', 443)",
"('88.165.71.228', 80, '164.88.48.132', 57864)","('161.32.2.115', 2479, '221.130.81.233', 443)",
"('160.26.149.249', 36393, '162.102.67.50', 80)","('193.188.208.209', 65201, '47.56.170.190', 443)",
"('192.114.236.80', 80, '43.86.66.126', 3218)","('160.72.169.202', 443, '220.81.20.157', 49579)",
"('161.32.212.140', 1104, '45.171.217.78', 80)","('145.120.98.122', 55892, '92.21.96.178', 443)",
"('212.199.141.67', 80, '193.188.208.221', 4232)","('94.245.42.162', 443, '161.32.2.115', 1149)",
"('92.182.186.143', 3070, '192.114.236.80', 80)","('145.120.98.122', 55882, '92.21.96.178', 443)",
"('149.198.161.93', 1462, '11.43.100.92', 80)","('45.171.169.0', 443, '164.66.66.17', 50265)",
"('161.32.173.69', 34585, '46.210.204.80', 80)","('149.198.202.136', 60585, '215.198.65.166', 443)",
"('160.26.149.249', 21651, '107.10.152.224', 80)","('172.20.32.208', 1218, '51.245.233.129', 443)",
"('186.145.148.23', 65251, '46.181.90.99', 80)","('145.120.242.173', 3837, '57.188.210.223', 443)",
"('198.210.73.168', 80, '145.120.4.34', 2762)","('88.165.92.235', 443, '164.88.48.131', 60530)",
"('69.95.12.235', 80, '145.120.108.109', 3266)","('149.198.202.136', 54363, '51.129.89.83', 443)",
"('149.198.202.136', 60799, '46.210.193.90', 80)","('149.198.202.137', 62313, '11.43.100.49', 443)",
"('186.145.196.25', 48391, '46.224.101.186', 80)","('182.56.2.81', 1060, '222.54.92.130', 443)",
"('44.35.107.236', 80, '145.120.78.33', 4819)","('145.120.72.145', 1552, '46.224.98.187', 443)",
"('164.93.0.135', 31361, '212.30.121.177', 80)","('149.198.164.17', 1981, '222.54.92.138', 443)",
"('186.145.73.193', 2030, '46.181.90.5', 80)","('161.32.81.203', 61341, '198.210.11.179', 443)",
"('54.119.99.207', 80, '164.66.46.8', 49237)","('198.210.73.171', 443, '145.120.98.122', 55887)",
"('149.198.205.1', 80, '43.119.49.142', 2333)","('164.66.66.17', 50271, '222.128.131.192', 443)",
"('164.93.70.235', 47334, '212.30.112.42', 80)","('145.120.250.30', 53142, '44.206.252.199', 443)",
"('164.93.41.167', 46359, '192.182.115.226', 80)","('92.21.96.178', 443, '145.120.98.122', 55883)",
"('192.114.235.26', 80, '195.64.53.76', 19641)","('88.165.92.235', 443, '164.88.48.129', 65016)",
"('161.32.248.150', 1160, '193.44.201.172', 80)","('145.120.5.48', 2289, '46.224.98.187', 443)",
"('35.21.253.67', 80, '145.120.5.207', 15116)","('145.120.33.1', 2990, '193.50.255.17', 443)",
"('161.32.67.31', 1990, '92.11.198.52', 80)","('149.198.202.137', 62536, '215.198.65.166', 443)",
"('145.120.110.232', 2201, '46.224.98.187', 80)","('92.21.96.178', 443, '145.120.98.122', 55892)",
