Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length
30840,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,48063,6667,0,0,6,80+40
30998,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,6667,48063,358259,2,6,80+40
31015,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffbd:26::87,6667,54791,247972,0,6,72+79
31267,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,0,6,72+1440
31270,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,0,6,72+1440
31719,2001:3269:3d:0:8883::ed2e,2001:54e5:0:8f0f::d0,-,-,0,0,58,44+110
32288,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
32495,2001:3a50:a8ff:ff23::93c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
32732,2001:3d4f::ed,2001:3a50:0:ec::71,-,-,0,0,58,48+64
32932,2001:3c14:6711:a4::e7,2001:3c00:5846:1a2a::300:53,53,53,0,0,17,60+57
33643,2001:3269:3d:0:8883::ed2e,2001:38af:277::f919,-,-,0,0,58,44+110
33742,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
33782,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,2001:3c00:5846:1a2a::f00:d488,1259,6667,0,0,6,60+85
33918,2001:3c14:59c6:7a00::4e,2001:3c14:59c6:7a00::4c,2305,179,0,192,6,80+59
34144,2001:3dc0:0:d7a9:0:89:0:eb,2001:3c00:5846:1a2a::300:53,4053,53,0,0,17,60+46
34317,2001:3269:3d:0:8883::ed2e,2001:38af:277::f919,-,-,0,0,58,44+111
35113,2001:3269:3d:0:8883::ed2e,2001:38af:277::f919,-,-,0,0,58,44+111
35553,2001:3cc1:83::d6,2001:3abf:f5a5::a3:2f,32817,53,0,0,17,60+40
35559,2001:3c00:5846:1a2a::f00:d488,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,6667,1259,256161,0,6,60+20
35700,2001:3269:3d:0:8883::ed2e,2001:38af:277::f919,-,-,0,0,58,44+110
35712,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,48063,6667,0,0,6,72+32
35745,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,48063,6667,0,0,6,72+44
35780,2001:2b01:ffbd:26::87,2001:3c00:5846:1a2a::f00:d488,54791,6667,0,0,6,72+32
35834,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,1600,113,0,0,6,80+40
35846,2001:3c00:5846:1a2a::f00:d488,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,6667,1259,256161,0,6,60+118
35847,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,6667,48063,256871,0,6,72+108
35848,2001:3c00:5846:1a2a::f00:d488,2001:28d3:ff92::90,6667,32988,255126,0,6,72+60
35851,2001:3c00:5846:1a2a::f00:d488,2002:d3b2:d42f::9,6667,58360,245760,0,6,72+60
35852,2001:3c00:5846:1a2a::f00:d488,2002:d26e:5777::bd,6667,63276,255463,0,6,60+48
35962,2001:5696:6200:f::a6,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
35982,2001:3da6:6142::e,2001:3c00:5846:1a2a::f00:d488,59975,6667,106094,0,6,72+60
35985,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:5696:6200:f::a6,-,-,0,0,58,48+64
36186,2001:3da6:61bc:0:79aa:46ff:8cf8:cb39,2001:3c00:5846:1a2a::f00:d488,16560,6667,586946,0,6,72+60
36187,2001:3c14:6780:dd00::72,2001:3c00:5846:1a2a::f00:d488,57848,6667,863764,0,6,72+60
36582,2001:3cc1:f7:0:aaa6:4ff:e0aa:8df3,2001:3abf:f5a5::a3:2f,40697,53,0,0,17,60+46
36648,2001:3c14:67d5:0:c6cd:3eff:1000:1c97,2001:3c00:5846:1a2a::f00:d488,38827,6667,0,0,6,60+20
36704,2001:3269:3d:0:8883::ed2e,2001:23b9:0:4b:b9:1295:16a4:60,-,-,0,0,58,44+112
36934,2001:3cc1:f7:0:aaa6:4ff:e0aa:8df3,2001:3abf:f5a5::a3:2f,40697,53,0,0,17,60+40
37035,2001:3c14:59c6:7a00::4c,2001:3c14:59c6:7a00::4e,179,2305,0,192,6,80+40
37166,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+32
37179,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,0,6,72+213
37289,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+32
37361,2001:3c14:67d5:0:c6cd:3eff:1000:1c97,2001:3c00:5846:1a2a::f00:d488,38827,6667,0,0,6,60+48
37366,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,6667,48063,256871,0,6,72+32
37595,2001:38af:38:1b::cc,2001:3c00:5846:1a2a::300:53,6891,53,334819,0,17,60+53
37745,2001:3c00:5846:1a2a::300:53,2001:38af:38:1b::cc,53,6891,0,0,17,60+116
38384,2001:3c14:6780:dd00::72,2001:3c00:5846:1a2a::f00:d488,57848,6667,863764,0,6,72+60
38443,2001:3c14:59c5:d656::85,2001:3c00:59b4::98,53,65533,0,0,17,60+376
38890,2001:3269:3d:0:8883::ed2e,2001:23b9:0:4a:4dbf:b6ff:cbca:6d,-,-,0,0,58,44+111
39094,2001:5696:6500:9f::64,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
39106,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:5696:6500:9f::64,-,-,0,0,58,48+64
39401,2001:3269:3d:0:8883::ed2e,2001:23b9:0:48:cf:c57a:e40d:bf,-,-,0,0,58,44+111
39501,2001:28d3:ff00:11e9::51,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
39517,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:28d3:ff00:11e9::51,-,-,0,0,58,48+64
39541,2001:3c00:5846:997:a24c:3ff:1653:56e8,2001:3abf:22df::63:1a,37046,53,0,0,17,60+40
39623,2001:2037:95:daeb:c99e:eff:12cc:c57d,2001:326c::e5,32771,53,0,0,17,60+64
40375,2001:3c00:5846:997:a24c:3ff:1653:56e8,2001:3abf:22df::63:1a,37046,53,0,0,17,60+37
40516,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,113,1600,0,0,6,80+40
40531,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,48063,6667,0,0,6,72+32
40553,2001:38d8:2000:6314::d,2001:385a:49a8:cc2d:652e:b9aa:55c5:eb08,52081,6667,0,0,6,72+44
40603,2001:5696:6200:f::a6,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
40616,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:5696:6200:f::a6,-,-,0,0,58,48+64
40620,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,1600,113,0,0,6,72+32
40622,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,1600,113,0,0,6,72+46
40626,2001:3c00:5846:1a2a::300:53,2001:3b46:3e00:ffff::23b8,53,49152,0,0,17,60+111
40628,2001:3269:3d:0:8883::ed2e,2001:38af:277::f919,-,-,0,0,58,44+111
