Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,UDP_Length
43273,2001:3abf:22df::63:1a,2001:3c00:5846:997:a24c:3ff:1653:56e8,53,37046,0,0,17,60+104,104
43512,2001:3c21:f800:83::f5,2001:2221:0:85:9bb2:99ff:9379:59e0,53,32769,0,0,17,60+302,302
43525,2001:385a:4a21:e:1bcc:21ff:325f:37ea,2001:3c00:5846:1a2a::300:53,33270,53,0,0,17,60+58,58
43526,2001:385a:4a21:e:1bcc:21ff:325f:37ea,2001:3c00:5846:1a2a::300:53,33270,53,0,0,17,60+58,58
43626,2001:3c00:5846:1a2a::300:53,2001:385a:4a21:e:1bcc:21ff:325f:37ea,53,33270,0,0,17,60+114,114
43628,2001:3c00:5846:1a2a::300:53,2001:385a:4a21:e:1bcc:21ff:325f:37ea,53,33270,0,0,17,60+114,114
43638,2001:3c21:f800:83::f5,2001:2221:0:85:9bb2:99ff:9379:59e0,53,32769,0,0,17,60+301,301
43646,2001:385a:498f:78:7c00::a6,2001:326c::e5,37582,53,0,0,17,60+58,58
43648,2001:385a:498f:78:7c00::a6,2001:326c::e5,37582,53,0,0,17,60+58,58
43658,2001:326c::e5,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+114,114
43659,2001:326c::e5,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+114,114
46835,2001:3c30:6800::88,2001:3abf:22df::63:1a,63306,53,0,0,17,60+53,53
47352,2001:3801:6c00:42::31:53,2001:3c00:5846:1a2a::300:53,32771,53,0,0,17,60+52,52
47356,2001:3801:6c00:42::31:53,2001:3c00:5846:1a2a::300:53,32771,53,0,0,17,60+52,52
49491,2001:3316:ffff:16:3786:f6ff:424a:830d,2001:39c8:5:fd09::1d,53,41367,0,0,17,60+41,41
49738,2001:2221:0:85:9bb2:99ff:9379:59e0,2001:3c21:f800:83::f5,32769,53,0,0,17,60+53,53
50027,2001:2221:0:85:9bb2:99ff:9379:59e0,2001:3c21:f800:83::f5,32769,53,0,0,17,60+53,53
50773,2001:3c21:f800:83::f5,2001:2221:0:85:9bb2:99ff:9379:59e0,53,32769,0,0,17,60+308,308
51012,2001:3c21:f800:83::f5,2001:2221:0:85:9bb2:99ff:9379:59e0,53,32769,0,0,17,60+308,308
52669,2001:3da6:6072:0:c4f7:50ff:1f16:5d73,2001:3c00:5846:1a2a::300:53,53,53,0,0,17,60+49,49
52685,2001:3da6:6072:0:c4f7:50ff:1f16:5d73,2001:3c00:5846:1a2a::300:53,53,53,0,0,17,60+49,49
56688,2001:3215:7c:cc00::ff,2001:3801:6c00:42::31:50,53,32771,0,0,17,60+123,123
57662,2001:3c00:59d4:7a::49,2001:3abf:f5a5::a3:2f,61870,53,0,0,17,60+52,52
57663,2001:3c00:59d4:7a::49,2001:3abf:f5a5::a3:2f,61870,53,0,0,17,60+51,51
57684,2001:3c00:59d4:7a::49,2001:3abf:f5a5::a3:2f,61870,53,0,0,17,60+52,52
58444,2001:385a:498f:78:7c00::a6,2001:326c::e5,37582,53,0,0,17,60+60,60
58446,2001:326c::e5,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+132,132
60303,2001:3abf:f5a5::a3:2f,2001:3c00:59d4:7a::49,53,61870,0,0,17,60+20,20
60310,2001:3abf:f5a5::a3:2f,2001:3c00:59d4:7a::49,53,61870,0,0,17,60+20,20
60325,2001:3abf:f5a5::a3:2f,2001:3c00:59d4:7a::49,53,61870,0,0,17,60+20,20
60796,2001:385a:498f:78:7c00::a6,2001:3c00:5846:1a2a::300:53,37582,53,0,0,17,60+65,65
60935,2001:3c00:5846:1a2a::300:53,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+112,112
62121,2001:3cc1:a1:6e::f4,2001:3abf:22df::63:1a,32771,53,0,0,17,60+39,39
62637,3ffe:3c05:3a:0:1dfb:e3ff:4357:b0f,2001:3c00:5846:1a2a::300:53,32769,53,0,0,17,60+48,48
63141,2001:30db:c130:cde6:4ee0:c5ff:9f21:11a2,2001:3abe:66ff::74,33067,53,0,0,17,60+57,57
63143,2001:30db:c130:cde6:4ee0:c5ff:9f21:11a2,2001:3abe:66ff::74,33067,53,0,0,17,60+57,57
63146,2001:30db:c130:cde6:4ee0:c5ff:9f21:11a2,2001:3abe:66ff::74,33067,53,0,0,17,60+58,58
63150,2001:30db:c130:cde6:4ee0:c5ff:9f21:11a2,2001:3abe:66ff::74,33067,53,0,0,17,60+58,58
