Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,TCP-Reserved,TCP-CWR,TCP-ECE,TCP-Timestamp_Value
45754,2001:3c00:5846:1a2a::f00:d488,2002:d3b2:d42f::9,6667,58360,245760,0,6,72+32,0,False,False,"2115506016, 2051301098"
46278,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,2001:3c00:5846:1a2a::f00:d488,1259,6667,0,0,6,60+20,0,False,False,-
48573,2001:3da6:613c:7000::a68f,2001:3c00:5846:1a2a::f00:d488,65528,6667,746972,0,6,72+32,0,False,False,"2287416, 2115506014"
48611,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+32,0,False,False,"202757153, 476626544"
48900,2001:38d8:2000:6314::d,2001:385a:49a8:cc2d:652e:b9aa:55c5:eb08,52081,6667,0,0,6,72+32,0,False,False,"160842215, 1164829084"
49117,2001:3c00:5846:1a2a::f00:d488,2002:d26e:5777::bd,6667,63276,255463,0,6,60+20,0,False,False,-
49545,2001:3967:52ee:c5:d66a:2aff:ec68:7610,2001:3c00:5d52:1e:9984:23ff:65e2:d71e,51949,80,0,0,6,80+40,0,False,False,"948297234, 0"
49617,2001:28d3:ff92::90,2001:3c00:5846:1a2a::f00:d488,32988,6667,0,0,6,72+75,0,False,False,"11448577, 2115506004"
49766,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,113,1600,0,0,6,72+32,0,False,False,"1251886067, 2115506014"
49778,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,48063,6667,0,0,6,72+32,0,False,False,"1251886068, 2115506014"
49794,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,48063,6667,0,0,6,72+32,0,False,False,"1251886069, 2115506014"
49940,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,64+24,0,False,False,-
49948,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,6667,48063,256871,0,6,72+32,0,False,False,"2115506043, 1251886069"
51238,2001:3c00:5846:1a2a::f00:d488,2001:28d3:ff92::90,6667,32988,255126,0,6,72+32,0,False,False,"2115506052, 11448577"
53241,2002:d3b2:d42f::9,2001:3c00:5846:1a2a::f00:d488,58360,6667,0,0,6,72+60,0,False,False,"2051301158, 2115506016"
53933,2001:3967:52ee:c5:d66a:2aff:ec68:7610,2001:3c00:5d52:1e:9984:23ff:65e2:d71e,51949,80,0,0,6,72+32,0,False,False,"948297305, 95556138"
53934,2001:3967:52ee:c5:d66a:2aff:ec68:7610,2001:3c00:5d52:1e:9984:23ff:65e2:d71e,51949,80,0,0,6,72+185,0,False,False,"948297305, 95556138"
54731,2001:3c00:5846:1a2a::f00:d488,2002:d3b2:d42f::9,6667,58360,245760,0,6,72+32,0,False,False,"2115506075, 2051301158"
55363,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+20,0,False,False,-
55394,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+576,0,False,False,-
55856,2002:305a:446f::370f:1b30,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1203,80,0,0,6,64+24,0,False,False,-
58644,2001:3967:52ee:c5:d66a:2aff:ec68:7610,2001:3c00:5d52:1e:9984:23ff:65e2:d71e,51949,80,0,0,6,72+32,0,False,False,"948297382, 95556169"
58682,2001:3967:52ee:c5:d66a:2aff:ec68:7610,2001:3c00:5d52:1e:9984:23ff:65e2:d71e,51949,80,0,0,6,72+32,0,False,False,"948297383, 95556169"
61213,2002:305a:446f::370f:1b30,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1203,80,0,0,6,60+20,0,False,False,-
61243,2002:305a:446f::370f:1b30,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1203,80,0,0,6,60+589,0,False,False,-
65669,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1085,80,0,0,6,60+20,0,False,False,-
