Packet Number,Source IP,Destination IP,Source Port,Destination Port,IHL(byte),DSCP,ECN,Protocol,Packet Length,UDP_Length
64038,192.181.72.93,164.66.89.93,123,32805,20,0,0,17,76,56
64039,164.93.32.206,212.102.197.227,1024,53,20,0,0,17,74,54
64041,164.93.32.206,212.102.197.227,1024,53,20,0,0,17,74,54
64042,192.85.10.48,212.250.161.173,53,32836,20,0,0,17,138,118
64048,202.161.204.215,193.20.182.96,53,53,20,0,0,17,57,37
64051,202.161.204.215,193.20.182.96,53,53,20,0,0,17,57,37
64057,164.66.89.93,192.181.72.93,32805,123,20,0,0,17,76,56
64085,164.93.32.206,212.102.197.232,1024,53,20,0,0,17,75,55
64133,201.46.107.27,192.114.237.128,53,37044,20,0,0,17,188,168
64139,192.114.237.128,176.65.128.186,37044,53,20,0,0,17,57,37
64140,35.8.160.167,193.20.180.152,32768,53,20,0,0,17,69,49
64153,44.224.128.233,193.20.182.96,54203,53,20,0,0,17,83,63
64154,182.56.101.174,213.107.61.90,1036,16478,20,0,0,17,64,44
64160,193.107.18.168,193.20.180.152,32768,53,20,0,0,17,71,51
64165,223.105.179.186,193.20.182.96,15047,53,20,0,0,17,62,42
64166,49.0.73.208,201.196.236.249,29910,53,20,0,0,17,63,43
64180,192.114.237.128,201.10.22.239,37044,53,20,0,0,17,71,51
64182,201.196.236.249,49.0.73.208,53,29910,20,0,0,17,163,143
64184,161.33.138.250,216.55.140.102,3076,1651,20,0,0,17,89,69
64185,161.33.138.250,216.55.140.102,3076,1651,20,0,0,17,89,69
64186,164.93.21.147,47.241.40.72,55600,53,20,0,0,17,87,67
64191,164.93.26.20,43.64.150.114,32769,53,20,0,0,17,71,51
64194,193.98.240.144,193.20.180.152,46218,53,20,0,0,17,67,47
64201,164.93.26.20,43.64.150.117,32769,53,20,0,0,17,71,51
64213,193.20.177.176,192.168.0.230,53,1117,20,0,0,17,523,503
64214,193.107.2.157,193.20.180.152,32768,53,20,0,0,17,74,54
64216,222.151.83.254,193.20.182.96,56272,53,20,0,0,17,73,53
64221,152.223.152.62,193.20.180.152,32768,53,20,0,0,17,62,42
64231,193.107.8.145,193.20.180.152,61705,53,20,0,0,17,84,64
64236,145.120.188.50,197.139.70.110,37857,22173,20,0,0,17,149,129
64239,49.171.220.90,193.20.182.96,53,53,20,0,0,17,81,61
64244,193.188.202.41,193.197.12.186,53,1025,20,0,0,17,65,45
64249,193.101.57.202,193.20.180.152,33003,53,20,0,0,17,64,44
64258,205.221.137.196,164.66.89.93,123,32805,20,0,0,17,76,56
64278,213.200.234.87,201.196.236.249,32778,53,20,0,0,17,55,35
