Packet Number,Source IP,Destination IP,Source Port,Destination Port,IHL(byte),DSCP,ECN,Protocol,Packet Length,ICMP_Type
26651,193.188.201.161,32.165.200.159,-,-,20,0,0,1,28,0
26978,164.191.23.52,96.32.194.28,-,-,20,0,0,1,56,11
27432,44.136.240.183,192.114.236.69,-,-,20,0,0,1,84,0
27586,212.198.172.96,192.114.227.240,-,-,20,0,0,1,1492,8
27602,192.114.227.240,212.198.172.96,-,-,20,0,0,1,1492,0
28062,192.114.227.240,193.243.130.219,-,-,20,0,0,1,1500,0
28433,145.14.165.208,41.172.251.54,-,-,20,0,0,1,56,3
28451,47.200.101.115,192.114.147.215,-,-,20,16,0,1,92,8
28547,164.191.23.52,46.13.147.22,-,-,20,0,0,1,56,11
28564,145.120.179.5,33.213.36.74,-,-,20,0,0,1,56,3
28992,213.124.143.182,192.114.235.164,-,-,20,0,0,1,84,8
29122,214.25.122.91,193.188.198.218,-,-,20,0,0,1,92,8
29373,192.114.235.164,196.72.68.190,-,-,20,0,0,1,64,0
30289,164.191.23.52,220.112.161.31,-,-,20,0,0,1,56,11
30722,94.229.198.96,164.191.182.144,-,-,20,0,0,1,92,8
30796,182.77.129.37,51.249.187.88,-,-,20,0,0,1,56,3
30941,223.0.152.76,193.20.180.50,-,-,20,0,0,1,84,8
31260,164.191.23.54,94.229.198.96,-,-,20,0,0,1,56,11
31353,208.96.187.175,192.114.232.31,-,-,20,0,0,1,64,8
31385,192.114.232.31,208.96.187.175,-,-,20,0,0,1,64,0
31734,223.105.162.122,192.114.232.31,-,-,20,0,0,1,64,8
31750,192.114.232.31,223.105.162.122,-,-,20,0,0,1,64,0
32278,215.246.128.81,192.114.235.164,-,-,20,0,0,1,84,8
32299,192.114.235.164,215.246.128.81,-,-,20,0,0,1,84,0
32355,220.173.186.133,192.114.152.120,-,-,20,0,0,1,92,8
32529,221.67.34.241,193.188.193.213,-,-,20,0,0,1,92,8
32539,197.196.43.141,192.114.232.16,-,-,20,0,0,1,56,8
32541,192.114.232.16,197.196.43.141,-,-,20,0,0,1,56,0
32812,192.114.227.236,193.243.130.219,-,-,20,0,0,1,1500,0
33169,164.66.245.41,46.224.120.169,-,-,20,0,0,1,56,3
33174,95.34.173.51,145.120.109.171,-,-,20,0,0,1,40,8
33204,193.244.23.205,192.32.194.204,-,-,20,0,0,1,56,3
33270,35.176.74.30,192.114.232.31,-,-,20,0,0,1,84,8
33289,192.114.232.31,35.176.74.30,-,-,20,0,0,1,84,0
33406,192.160.33.250,182.77.233.162,-,-,20,0,0,1,56,3
33459,212.198.172.96,192.114.227.236,-,-,20,0,0,1,1492,8
33465,192.114.227.236,212.198.172.96,-,-,20,0,0,1,1492,0
33589,88.29.45.240,164.88.43.54,-,-,20,0,0,1,92,8
34180,193.244.23.205,192.56.203.65,-,-,20,0,0,1,56,3
34198,92.97.34.122,192.114.234.10,-,-,20,48,0,1,239,3
34750,208.229.59.56,192.114.232.31,-,-,20,0,0,1,64,8
34771,192.114.232.31,208.229.59.56,-,-,20,0,0,1,64,0
34832,182.77.192.102,11.24.225.247,-,-,20,0,0,1,56,3
34880,192.114.227.236,220.91.172.117,-,-,20,0,0,1,1492,0
35369,92.162.75.175,192.114.149.69,-,-,20,0,0,1,92,8
35462,184.154.75.119,192.114.232.31,-,-,20,0,0,1,84,8
35499,192.114.232.31,184.154.75.119,-,-,20,0,0,1,84,0
35679,192.114.227.236,220.91.172.117,-,-,20,0,0,1,1420,0
35725,192.114.227.236,220.91.172.117,-,-,20,0,0,1,320,0
35849,212.198.172.96,192.114.227.240,-,-,20,0,0,1,1492,8
35866,192.114.227.240,212.198.172.96,-,-,20,0,0,1,1492,0
35870,192.114.227.236,220.91.172.117,-,-,20,0,0,1,1020,0
35960,182.77.72.89,221.2.11.36,-,-,20,0,0,1,56,3
36036,192.114.227.236,220.91.172.117,-,-,20,0,0,1,84,0
36108,164.191.23.52,94.229.198.96,-,-,20,0,0,1,56,11
36333,215.29.73.107,193.59.125.146,-,-,20,0,0,1,92,8
36350,192.114.227.240,193.243.130.219,-,-,20,0,0,1,1500,0
36632,192.114.227.236,220.91.172.117,-,-,20,0,0,1,1500,0
36785,44.121.185.229,192.114.232.31,-,-,20,0,0,1,64,8
36808,192.114.232.31,44.121.185.229,-,-,20,0,0,1,64,0
36909,200.105.170.159,192.114.235.164,-,-,20,0,0,1,64,8
36926,192.114.235.164,200.105.170.159,-,-,20,0,0,1,64,0
37051,164.191.23.52,92.122.35.202,-,-,20,0,0,1,56,11
37438,213.76.0.98,145.120.40.197,-,-,20,0,0,1,92,8
37479,164.191.23.54,33.213.36.74,-,-,20,0,0,1,56,11
37776,212.169.81.215,192.114.128.47,-,-,20,0,0,1,92,8
38125,193.188.201.161,32.165.200.159,-,-,20,0,0,1,28,0
38229,192.114.234.129,193.243.130.219,-,-,20,0,0,1,56,11
38273,192.114.234.129,193.243.130.219,-,-,20,0,0,1,56,11
38687,192.114.232.43,193.243.130.219,-,-,20,0,0,1,56,11
38976,192.114.232.205,193.243.130.219,-,-,20,0,0,1,60,0
39445,192.114.234.146,213.196.183.201,-,-,20,0,0,1,56,3
40084,182.77.181.196,88.203.61.140,-,-,20,0,0,1,56,3
40168,164.191.23.54,209.141.196.241,-,-,20,0,0,1,56,11
40264,164.191.23.54,94.123.101.9,-,-,20,0,0,1,56,11
40401,208.58.230.127,193.20.180.129,-,-,20,0,0,1,84,8
40429,192.114.232.90,193.243.130.219,-,-,20,0,0,1,56,11
40520,95.32.241.109,192.114.232.31,-,-,20,0,0,1,64,8
40542,192.114.232.31,95.32.241.109,-,-,20,0,0,1,64,0
40594,149.198.202.137,205.214.143.93,-,-,20,0,0,1,56,3
40605,196.93.191.192,192.114.235.164,-,-,20,0,0,1,84,8
40624,192.114.235.164,196.93.191.192,-,-,20,0,0,1,84,0
40699,182.56.105.186,193.243.130.219,-,-,20,0,0,1,60,0
40704,192.114.232.3,192.155.189.70,-,-,20,0,0,1,56,3
40840,49.12.133.29,192.114.235.164,-,-,20,0,0,1,64,8
40860,192.114.235.164,49.12.133.29,-,-,20,0,0,1,64,0
41083,164.191.23.52,11.25.39.129,-,-,20,0,0,1,56,11
41191,215.102.161.140,192.114.235.164,-,-,20,0,0,1,84,8
41192,46.73.73.29,147.17.129.182,-,-,20,0,0,1,92,8
41200,192.114.235.164,215.102.161.140,-,-,20,0,0,1,84,0
41231,182.56.105.186,220.91.172.117,-,-,20,0,0,1,1420,0
41243,192.114.236.69,53.130.232.33,-,-,20,0,0,1,84,8
41311,164.191.23.54,93.176.98.32,-,-,20,0,0,1,56,11
41329,192.114.227.236,193.243.130.219,-,-,20,0,0,1,1500,0
41352,40.35.160.90,193.188.214.99,-,-,20,0,0,1,92,8
41464,182.77.240.85,92.68.221.12,-,-,20,0,0,1,56,3
41465,182.56.105.186,220.91.172.117,-,-,20,0,0,1,320,0
41524,164.191.23.54,104.109.200.117,-,-,20,0,0,1,56,11
41579,182.56.105.186,220.91.172.117,-,-,20,0,0,1,1500,0
41584,192.114.236.69,44.136.240.183,-,-,20,0,0,1,84,8
41672,192.114.236.69,146.199.181.46,-,-,20,0,0,1,84,8
41755,221.193.42.139,193.176.30.171,-,-,20,0,0,1,92,8
41904,212.198.172.96,192.114.227.236,-,-,20,0,0,1,1492,8
41917,192.114.227.236,212.198.172.96,-,-,20,0,0,1,1492,0
42123,193.244.23.205,192.26.243.7,-,-,20,0,0,1,56,3
42196,149.198.195.134,209.204.13.48,-,-,20,0,0,1,56,3
42422,92.11.198.90,164.143.51.168,-,-,20,0,0,1,64,8
42677,182.56.105.186,220.91.172.117,-,-,20,0,0,1,1020,0
42678,182.56.105.186,220.91.172.117,-,-,20,0,0,1,84,0
42681,182.56.105.186,220.91.172.117,-,-,20,0,0,1,1492,0
42815,150.4.85.128,164.66.46.64,-,-,20,0,0,1,56,3
42894,213.166.111.174,193.188.202.204,-,-,20,0,0,1,92,8
43220,197.201.254.152,192.114.235.164,-,-,20,0,0,1,64,8
43241,192.114.235.164,197.201.254.152,-,-,20,0,0,1,64,0
43452,44.242.168.59,192.114.232.31,-,-,20,0,0,1,64,8
43462,192.114.232.31,44.242.168.59,-,-,20,0,0,1,64,0
43594,164.66.226.234,32.176.78.207,-,-,20,0,0,1,56,11
43678,44.136.240.183,192.114.236.69,-,-,20,0,0,1,84,0
43835,164.191.23.52,221.2.11.36,-,-,20,0,0,1,56,11
44081,212.198.172.96,192.114.227.240,-,-,20,0,0,1,1492,8
44123,192.114.227.240,212.198.172.96,-,-,20,0,0,1,1492,0
44152,164.191.23.54,92.108.149.132,-,-,20,0,0,1,56,11
44173,164.191.23.54,94.123.101.9,-,-,20,0,0,1,56,11
44583,164.191.23.54,92.84.206.204,-,-,20,0,0,1,56,11
44951,192.114.227.240,193.243.130.219,-,-,20,0,0,1,1500,0
44996,193.244.23.205,92.140.114.122,-,-,20,0,0,1,56,3
45135,215.246.141.163,192.114.235.164,-,-,20,0,0,1,84,8
45164,192.114.235.164,215.246.141.163,-,-,20,0,0,1,84,0
45409,95.32.241.109,192.114.234.162,-,-,20,0,0,1,64,8
45450,193.188.201.238,216.130.17.144,-,-,20,0,0,1,56,3
45490,192.117.181.16,216.130.17.144,-,-,20,0,0,1,56,3
45493,193.188.203.197,216.130.17.144,-,-,20,0,0,1,56,3
45525,193.188.203.197,216.130.17.144,-,-,20,0,0,1,56,3
45527,193.188.203.197,216.130.17.144,-,-,20,0,0,1,56,3
45530,192.114.234.162,95.32.241.109,-,-,20,0,0,1,64,0
45623,145.14.165.208,195.141.70.183,-,-,20,0,0,1,56,3
45694,192.114.232.24,216.130.17.144,-,-,20,0,0,1,56,3
45836,164.66.53.78,182.229.176.59,-,-,20,0,0,1,112,3
45913,127.0.0.1,192.114.230.16,-,-,20,0,0,1,56,3
46648,164.191.23.54,88.203.61.140,-,-,20,0,0,1,56,11
46797,182.77.188.48,198.182.189.59,-,-,20,0,0,1,56,3
47329,215.246.144.225,192.114.232.31,-,-,20,0,0,1,84,8
47353,192.114.232.31,215.246.144.225,-,-,20,0,0,1,84,0
47528,164.143.133.25,205.37.194.103,-,-,20,0,0,1,60,8
47687,164.143.133.25,215.104.105.53,-,-,20,0,0,1,60,8
47773,182.77.212.105,218.24.73.220,-,-,20,0,0,1,56,3
47830,164.143.133.25,50.189.234.24,-,-,20,0,0,1,60,8
47876,193.188.201.161,32.165.200.159,-,-,20,0,0,1,28,0
47990,95.37.15.30,192.114.235.164,-,-,20,0,0,1,64,8
47995,44.242.168.59,192.114.234.162,-,-,20,0,0,1,64,8
48014,192.114.235.164,95.37.15.30,-,-,20,0,0,1,64,0
48119,192.114.234.162,44.242.168.59,-,-,20,0,0,1,64,0
48122,193.244.23.205,192.56.203.143,-,-,20,0,0,1,56,3
48193,160.72.3.171,46.224.114.55,-,-,20,0,0,1,88,3
48194,160.72.3.171,46.224.114.55,-,-,20,0,0,1,88,3
